symbol,timestamp,open,high,low,close,volume,trade_index
SPY,2025-11-14T14:05:00Z,672.99,673.22,672.27,672.63,932551,290
SPY,2025-11-14T14:10:00Z,672.62,673.1,672.37,673.05,751767,291
SPY,2025-11-14T14:15:00Z,673.1,673.52,672.95,673.17,672761,292
SPY,2025-11-14T14:20:00Z,673.16,674.44,673.15,674.31,783814,293
SPY,2025-11-14T14:25:00Z,674.31,674.34,673.6,674.0199,725432,294
SPY,2025-11-14T14:30:00Z,674.02,674.35,673.62,673.85,648949,295
SPY,2025-11-14T14:35:00Z,673.85,674.375,673.69,674.22,463217,296
SPY,2025-11-14T14:40:00Z,674.23,674.33,673.84,674.12,564302,297
SPY,2025-11-14T14:45:00Z,674.14,674.9,674.03,674.2026,658042,298
SPY,2025-11-14T14:50:00Z,674.2,674.73,674.11,674.475,1267179,299
SPY,2025-11-14T14:55:00Z,674.49,674.8,674.165,674.65,636287,300
SPY,2025-11-14T15:00:00Z,674.64,675.12,674.47,674.815,735535,301
SPY,2025-11-14T15:05:00Z,674.81,674.87,673.74,673.97,978555,302
SPY,2025-11-14T15:10:00Z,673.99,674.3992,673.6,673.7,596244,303
SPY,2025-11-14T15:15:00Z,673.71,673.87,672.871,673,778183,304
SPY,2025-11-14T15:20:00Z,673.01,673.15,672.21,672.65,1210667,305
SPY,2025-11-14T15:25:00Z,672.64,672.915,672.3244,672.645,794247,306
SPY,2025-11-14T15:30:00Z,672.64,673.06,672.26,672.84,753947,307
SPY,2025-11-14T15:35:00Z,672.85,673.11,672.31,672.59,920208,308
SPY,2025-11-14T15:40:00Z,672.58,672.59,671.915,672.07,1141279,309
SPY,2025-11-14T15:45:00Z,672.06,672.49,671.2,671.22,1717214,310
SPY,2025-11-14T15:50:00Z,671.2,672.16,671.2,671.67,1696685,311
SPY,2025-11-14T15:55:00Z,671.67,671.96,671.17,671.95,4346419,312
SPY,2025-11-14T16:00:00Z,671.95,672.05,671.2297,671.7697,2876688,313
SPY,2025-11-14T16:05:00Z,671.7703,672.37,671.48,672.1102,510299,314
SPY,2025-11-14T16:10:00Z,671.93,672.72,671.6394,672.57,4135629,315
SPY,2025-11-14T16:15:00Z,672.58,672.93,671.93,672.845,80933,316
SPY,2025-11-14T16:20:00Z,672.85,673.07,671.93,672.79,174907,317
SPY,2025-11-14T16:25:00Z,672.8107,672.8902,672.63,672.83,34019,318
